Carrier,Tons,Commodity,Customers,Date
ALGOMA,27000,COAL,Arcelor Mittal (Dofasco),9/23/2017
ALGOMA,29650,ORE,Arcelor Mittal (Dofasco),9/23/2017
LLT,24000,GRAIN,Unknown customer,9/23/2017
ALGOMA,29501,GRAIN,Cargill,9/24/2017
CSL,33370,SALT,Windsor Salt,9/24/2017
CSL,30214,COAL,Stelco,9/24/2017
LLT,22000,COAL,Essar,9/24/2017
CSL,27614,ANHYDRITE ,IMI,9/24/2017
LLT,18000,STONE,CRH,9/24/2017
CSL,28847,ANHYDRITE ,IMI,9/25/2017
ALGOMA,27200,STONE,LafargeHolcim,9/25/2017
ALGOMA,27900,SLAG,CRH,9/25/2017
ALGOMA,37250,STONE,Arcelor Mittal (QCM),9/25/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),9/25/2017
CSL,25898,ORE,USS,9/26/2017
CSL,40531,ILMENITE ORE,QIT,9/26/2017
LLT,18000,STONE,CRH,9/26/2017
CSL,23723,ORE,Stelco,9/26/2017
CSL,24599,SUGAR,REDPATH SUGAR,9/26/2017
LLT,22000,STONE,LafargeHolcim,9/26/2017
LLT,18000,GRAIN,Richardson,9/26/2017
CSL,24295,SALT,Windsor Salt,9/26/2017
CSL,32510,ORE,Stelco,9/27/2017
ALGOMA,27200,ORE,Arcelor Mittal (Dofasco),9/27/2017
LLT,22000,STONE,LafargeHolcim,9/27/2017
LLT,22000,STONE,South West Sales,9/27/2017
LLT,18000,STONE,CRH,9/27/2017
CSL,30372,COAL,Stelco,9/27/2017
ALGOMA,28301,ORE,Arcelor Mittal (Dofasco),9/28/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),9/28/2017
ALGOMA,28000,SALT,Sifto,9/28/2017
ALGOMA,18000,STONE,LafargeHolcim,9/28/2017
CSL,32005,SALT,Windsor Salt,9/28/2017
CSL,12507,SLAG,CRISTAL,9/29/2017
LLT,18000,STONE,CRH,9/29/2017
ALGOMA,29650,GRAIN,Cargill,9/29/2017
ALGOMA,27900,SLAG,CRH,9/29/2017
ALGOMA,27500,ORE,Arcelor Mittal (USA),9/29/2017
ALGOMA,27000,COAL,Arcelor Mittal (Dofasco),9/29/2017
CSL,30846,GRAIN,Viterra,9/29/2017
LLT,22000,STONE,LafargeHolcim,9/30/2017
ALGOMA,18000,STONE,LafargeHolcim,9/30/2017
ALGOMA,37250,STONE,Arcelor Mittal (QCM),9/30/2017
ALGOMA,28800,GYPSUM,IMI,9/30/2017
LLT,22000,STONE,Ontario Trap Rock,9/30/2017
ALGOMA,27500,Unknown,Unknown Customer,9/30/2017
ALGOMA,28500,COKE,Koch Carbon,9/30/2017
ALGOMA,28500,GRAIN,P & H,9/30/2017
ALGOMA,27500,GRAIN,Cargill,9/30/2017
LLT,18000,STONE,CRH,9/30/2017
CSL,24421,SALT,Windsor Salt,10/1/2017
CSL,30359,SALT,Windsor Salt,10/1/2017
ALGOMA,27500,GRAIN,Richardson,10/1/2017
LLT,22000,STONE,LafargeHolcim,10/1/2017
ALGOMA,29500,GYPSUM,Unknown Customer,10/2/2017
LLT,18000,STONE,CRH,10/2/2017
CSL,28471,GRAIN,Cargill,10/2/2017
CSL,39592,ILMENITE ORE,QIT,10/2/2017
ALGOMA,18000,STONE,LafargeHolcim,10/3/2017
CSL,28200,COAL,Stelco,10/3/2017
LLT,22000,SALT,Cargill,10/3/2017
LLT,22000,GRAIN,Richardson,10/3/2017
CSL,29134,GRAIN,Viterra,10/3/2017
CSL,19003,COAL,Stelco,10/3/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),10/3/2017
CSL,26679,GRAIN,Cargill,10/3/2017
LLT,18000,GRAIN,Richardson,10/3/2017
ALGOMA,28301,GRAIN,Cargill,10/3/2017
LLT,22000,STONE,Ontario Trap Rock,10/3/2017
CSL,34260,ORE,Stelco,10/3/2017
LLT,18000,COAL,Unknown Customer,10/4/2017
CSL,32159,ORE,Stelco,10/4/2017
ALGOMA,27000,GRAIN,Richardson,10/4/2017
ALGOMA,29704,GRAIN,Cargill,10/4/2017
CSL,25375,GRAIN,Richardson,10/4/2017
LLT,24000,STONE,SWS,10/4/2017
ALGOMA,28000,STONE,Ontario Trap Rock,10/5/2017
ALGOMA,18000,SALT,Sifto,10/5/2017
CSL,28388,GRAIN,Cargill,10/5/2017
CSL,23938,ORE,Stelco,10/5/2017
ALGOMA,27200,Clinker,St Mary's Cement,10/6/2017
CSL,27851,GYPSUM,CertainTeed,10/6/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),10/6/2017
ALGOMA,29501,GRAIN,Cargill,10/6/2017
LLT,26000,STONE,Ontario Trap Rock,10/6/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),10/6/2017
LLT,24000,STONE,LafargeHolcim,10/6/2017
CSL,33079,ORE,Stelco,10/6/2017
ALGOMA,28100,GRAIN,Arcelor Mittal (Dofasco),10/6/2017
ALGOMA,27900,SLAG,LafargeHolcim,10/6/2017
CSL,30522,SALT,Windsor Salt,10/7/2017
LLT,22000,GRAIN,Hansen Mueller,10/7/2017
CSL,24858,SALT,Windsor Salt,10/7/2017
LLT,22000,STONE,South West Sales,10/7/2017
ALGOMA,27500,ORE,USS,10/7/2017
LLT,22000,STONE,South West Sales,10/7/2017
CSL,40612,ILMENITE ORE,QIT,10/8/2017
ALGOMA,28800,ORE,USS,10/8/2017
LLT,22000,STONE,LafargeHolcim,10/8/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),10/8/2017
CSL,31848,ORE,Stelco,10/9/2017
ALGOMA,27900,SLAG,LafargeHolcim,10/9/2017
LLT,18000,SALT,Cargill,10/9/2017
ALGOMA,27900,COAL,Essroc,10/9/2017
CSL,37311,ILMENITE ORE,QIT,10/9/2017
LLT,26000,ORE,Algoma Steel,10/10/2017
CSL,29222,COAL,Stelco,10/10/2017
LLT,22000,STONE,Ontario Trap Rock,10/10/2017
CSL,31070,ORE,USS,10/10/2017
ALGOMA,27200,STONE,Ontario Trap Rock,10/10/2017
LLT,18000,GRAIN,Richardson,10/10/2017
ALGOMA,29650,ORE,Arcelor Mittal (Dofasco),10/11/2017
CSL,28693,GRAIN,Viterra,10/11/2017
LLT,26000,ORE,Algoma Steel,10/11/2017
ALGOMA,28000,SALT,Sifto,10/11/2017
CSL,29022,ORE,USS,10/11/2017
ALGOMA,29500,GRAIN,P & H,10/11/2017
ALGOMA,18000,STONE,LafargeHolcim,10/12/2017
CSL,29487,GRAIN,ADM AGRI,10/12/2017
LLT,22000,COAL,Essar,10/12/2017
LLT,26000,ORE,Algoma Steel,10/12/2017
CSL,26158,COKE,Koch Carbon,10/12/2017
ALGOMA,28301,GRAIN,Cargill,10/12/2017
ALGOMA,28500,GYPSUM,CRH,10/12/2017
LLT,22000,SALT,Cargill,10/13/2017
LLT,22000,COAL,Essar,10/13/2017
CSL,20005,GRAIN,ADM Milling,10/13/2017
CSL,24281,SALT,Windsor Salt,10/13/2017
LLT,22000,GRAIN,Richardson,10/13/2017
ALGOMA,27000,SALT,Sifto,10/13/2017
CSL,40391,ILMENITE ORE,QIT,10/13/2017
CSL,30235,SALT,Windsor Salt,10/14/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),10/14/2017
LLT,18000,SALT,Cargill,10/14/2017
ALGOMA,18000,STONE,LafargeHolcim,10/14/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),10/14/2017
CSL,30939,GRAIN,Viterra,10/14/2017
LLT,24000,COKE,Oxbow,10/14/2017
CSL,30867,COAL,Essroc,10/14/2017
ALGOMA,27900,SLAG,LafargeHolcim,10/15/2017
CSL,28637,GRAIN,Cargill,10/15/2017
LLT,22000,STONE,South West Sales,10/15/2017
ALGOMA,27500,GRAIN,Richardson,10/15/2017
CSL,37420,ILMENITE ORE,QIT,10/15/2017
LLT,22000,STONE,Ontario Trap Rock,10/15/2017
ALGOMA,28500,GRAIN,Richardson,10/16/2017
LLT,22000,COAL,Essar,10/16/2017
LLT,26000,ORE,Algoma Steel,10/16/2017
ALGOMA,27500,GRAIN,Cargill,10/16/2017
LLT,22000,STONE,SWS,10/16/2017
ALGOMA,27500,ORE,Arcelor Mittal (USA),10/17/2017
ALGOMA,28100,GRAIN,G3,10/17/2017
ALGOMA,27500,SALT,Sifto,10/17/2017
ALGOMA,18000,STONE,South West Sales,10/17/2017
CSL,27039,GRAIN,Viterra,10/17/2017
ALGOMA,28000,ORE,Arcelor Mittal (USA),10/17/2017
ALGOMA,27200,Clinker,St Mary's Cement,10/17/2017
ALGOMA,29704,ORE,Arcelor Mittal (Dofasco),10/17/2017
CSL,25217,GRAIN,G3,10/18/2017
ALGOMA,27000,STONE,LafargeHolcim,10/18/2017
LLT,26000,ORE,Algoma Steel,10/18/2017
LLT,22000,STONE,Ontario Trap Rock,10/18/2017
ALGOMA,29650,GRAIN,Cargill,10/18/2017
CSL,33458,SALT,Windsor Salt,10/18/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),10/18/2017
ALGOMA,28800,ORE,Arcelor Mittal (USA),10/19/2017
CSL,40498,ILMENITE ORE,QIT,10/19/2017
CSL,24629,SALT,Windsor Salt,10/19/2017
ALGOMA,27900,SLAG,LafargeHolcim,10/19/2017
ALGOMA,27900,SLAG,CRH,10/19/2017
CSL,29924,COAL,Stelco,10/20/2017
LLT,18000,STONE,CRH,10/20/2017
LLT,22000,GRAIN,P & H,10/20/2017
ALGOMA,29501,ORE,Arcelor Mittal (Dofasco),10/20/2017
ALGOMA,27000,COAL,Teck,10/20/2017
ALGOMA,18000,SALT,Sifto,10/20/2017
LLT,26000,ORE,Algoma Steel,10/20/2017
CSL,37250,ILMENITE ORE,QIT,10/20/2017
LLT,22000,SALT,Cargill,10/20/2017
ALGOMA,28500,STONE,Ontario Trap Rock,10/20/2017
CSL,30279,STONE,LafargeHolcim,10/20/2017
LLT,22000,COAL,Essar,10/21/2017
CSL,24505,GRAIN,Viterra,10/21/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),10/21/2017
CSL,34004,SALT,Windsor Salt,10/21/2017
CSL,20880,SALT,Windsor Salt,10/21/2017
CSL,28338,GRAIN,Cargill,10/21/2017
LLT,24000,SALT,Sifto,10/22/2017
LLT,18000,STONE,CRH,10/22/2017
LLT,18000,GRAIN,Richardson,10/22/2017
CSL,30255,ORE,USS,10/23/2017
ALGOMA,29500,SALT,Sifto,10/23/2017
ALGOMA,27200,SALT,Sifto,10/23/2017
LLT,26000,STONE,LafargeHolcim,10/23/2017
ALGOMA,29704,GRAIN,Richardson,10/23/2017
CSL,30563,GRAIN,Cargill,10/23/2017
LLT,18000,STONE,CRH,10/23/2017
ALGOMA,27500,SALT,Sifto,10/23/2017
CSL,30114,COAL,Stelco,10/24/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),10/24/2017
CSL,28536,GRAIN,G3,10/24/2017
ALGOMA,27900,SLAG,CRH,10/24/2017
ALGOMA,28100,GRAIN,G3,10/24/2017
CSL,40382,ILMENITE ORE,QIT,10/24/2017
ALGOMA,27500,GRAIN,Richardson,10/25/2017
ALGOMA,29501,GRAIN,G3,10/25/2017
LLT,22000,GRAIN,ADM Agri,10/25/2017
CSL,21092,SALT,Windsor Salt,10/25/2017
ALGOMA,28301,GRAIN,Cargill,10/25/2017
LLT,22000,GRAIN,Kraft,10/25/2017
CSL,24639,SALT,Windsor Salt,10/25/2017
LLT,26000,ORE,Algoma Steel,10/25/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),10/25/2017
ALGOMA,29500,COKE,Koch Carbon,10/26/2017
LLT,18000,STONE,CRH,10/26/2017
CSL,37345,ILMENITE ORE,QIT,10/26/2017
LLT,22000,SALT,Cargill,10/26/2017
ALGOMA,28500,GRAIN,Richardson,10/26/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),10/26/2017
LLT,22000,GRAIN,Richardson,10/26/2017
ALGOMA,29650,GRAIN,Cargill,10/26/2017
LLT,26000,COAL,Essar,10/27/2017
ALGOMA,18000,STONE,LafargeHolcim,10/27/2017
LLT,18000,STONE,CRH,10/27/2017
LLT,24000,GRAIN,Unknown customer,10/27/2017
CSL,30429,SALT,Windsor Salt,10/27/2017
CSL,27159,COAL,Stelco,10/28/2017
CSL,28599,GRAIN,Viterra,10/28/2017
ALGOMA,27000,SALT,Sifto,10/28/2017
ALGOMA,28800,ORE,USS,10/28/2017
ALGOMA,28000,STONE,LafargeHolcim,10/28/2017
CSL,34300,STONE,Great Eastern,10/28/2017
ALGOMA,27900,ORE,Arcelor Mittal (USA),10/28/2017
CSL,24282,SALT,Windsor Salt,10/28/2017
LLT,18000,STONE,CRH,10/28/2017
CSL,29139,SUGAR,REDPATH SUGAR,10/29/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),10/29/2017
CSL,20938,GRAIN,ADM Milling,10/29/2017
LLT,18000,GRAIN,Richardson,10/29/2017
ALGOMA,18000,SALT,Sifto,10/29/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),10/29/2017
ALGOMA,28000,SALT,Sifto,10/30/2017
ALGOMA,27200,Clinker,St Mary's Cement,10/30/2017
CSL,41421,ILMENITE ORE,QIT,10/30/2017
LLT,18000,SLAG,Essroc,10/30/2017
CSL,31000,COKE,RTSA,10/30/2017
ALGOMA,27500,GRAIN,Hansen Mueller,10/30/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),10/30/2017
LLT,26000,ORE,Algoma Steel,10/30/2017
CSL,32252,ORE,Stelco,10/31/2017
CSL,36391,ILMENITE ORE,QIT,10/31/2017
CSL,29278,ORE,USS,10/31/2017
CSL,30732,GRAIN,Viterra,11/1/2017
LLT,18000,STONE,CRH,11/1/2017
LLT,22000,SALT,Windsor Salt,11/1/2017
ALGOMA,27500,SALT,Sifto,11/1/2017
LLT,25200,GRAIN,Richardson,11/1/2017
ALGOMA,27000,ORE,Arcelor Mittal (Dofasco),11/1/2017
CSL,25420,ORE,USS,11/2/2017
LLT,22000,COAL,Essar,11/2/2017
ALGOMA,28500,GRAIN,P & H,11/2/2017
LLT,18000,STONE,CRH,11/2/2017
LLT,24000,COAL,Essar,11/2/2017
LLT,26000,ORE,Algoma Steel,11/2/2017
ALGOMA,18000,ORE,Arcelor Mittal (Dofasco),11/3/2017
CSL,30304,SALT,Windsor Salt,11/3/2017
LLT,22000,COAL,Essar,11/3/2017
LLT,22000,STONE,LafargeHolcim,11/3/2017
ALGOMA,29501,GRAIN,G3,11/3/2017
CSL,28037,COAL,Stelco,11/3/2017
LLT,18000,STONE,CRH,11/3/2017
CSL,33855,ORE,Stelco,11/3/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),11/4/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),11/4/2017
ALGOMA,27900,COAL,Arcelor Mittal (Dofasco),11/4/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),11/4/2017
CSL,24103,GRAIN,Viterra,11/4/2017
ALGOMA,29500,ORE,Arcelor Mittal (Dofasco),11/4/2017
ALGOMA,27200,SALT,Sifto,11/5/2017
CSL,24557,SALT,Windsor Salt,11/5/2017
LLT,26000,ORE,Algoma Steel,11/5/2017
LLT,22000,GRAIN,P & H,11/5/2017
CSL,34963,STONE,Great Eastern,11/5/2017
LLT,18000,STONE,CRH,11/5/2017
CSL,24048,STONE,LafargeHolcim,11/6/2017
CSL,44674,ILMENITE ORE,QIT,11/6/2017
LLT,24000,GRAIN,ADM Agri,11/6/2017
CSL,29131,GRAIN,ADM AGRI,11/6/2017
ALGOMA,29500,ORE,Arcelor Mittal (USA),11/6/2017
LLT,22000,STONE,Ontario Trap Rock,11/6/2017
ALGOMA,27500,COKE,LafargeHolcim,11/6/2017
ALGOMA,27000,SALT,Sifto,11/6/2017
ALGOMA,28000,SALT,Sifto,11/6/2017
CSL,28370,GRAIN,Cargill,11/6/2017
ALGOMA,27900,SLAG,St Mary's Cement,11/6/2017
LLT,18000,STONE,CRH,11/6/2017
CSL,36397,ILMENITE ORE,QIT,11/7/2017
LLT,26000,ORE,Algoma Steel,11/7/2017
ALGOMA,27500,ORE,USS,11/7/2017
ALGOMA,28100,GRAIN,Richardson,11/7/2017
ALGOMA,29704,ORE,Arcelor Mittal (Dofasco),11/8/2017
ALGOMA,27200,SALT,Sifto,11/8/2017
LLT,18000,STONE,CRH,11/8/2017
ALGOMA,28500,ORE,Arcelor Mittal (Dofasco),11/8/2017
CSL,27951,COAL,Stelco,11/8/2017
ALGOMA,29650,GRAIN,Richardson,11/9/2017
ALGOMA,28800,ORE,Arcelor Mittal (USA),11/9/2017
LLT,26000,ORE,Algoma Steel,11/9/2017
ALGOMA,27500,GRAIN,Cargill,11/9/2017
ALGOMA,37250,STONE,Arcelor Mittal (QCM),11/9/2017
CSL,33243,ORE,Stelco,11/9/2017
CSL,21251,SALT,Windsor Salt,11/9/2017
LLT,18000,GRAIN,Richardson,11/9/2017
ALGOMA,27900,SALT,Sifto,11/9/2017
CSL,30350,SALT,Windsor Salt,11/9/2017
LLT,18000,STONE,CRH,11/10/2017
ALGOMA,28301,ORE,Arcelor Mittal (Dofasco),11/10/2017
ALGOMA,18000,SALT,Sifto,11/10/2017
CSL,34537,STONE,MARINER TOWING,11/10/2017
LLT,24000,COAL,Essar,11/10/2017
ALGOMA,27500,GRAIN,Cargill,11/10/2017
ALGOMA,27000,MILLSCALE,Unknown Customer,11/10/2017
LLT,22000,POTASH,Mosaic,11/10/2017
CSL,32419,ORE,Stelco,11/10/2017
LLT,22000,STONE,South West Sales,11/10/2017
CSL,26453,GRAIN,Viterra,11/11/2017
ALGOMA,29500,COAL,Arcelor Mittal (Dofasco),11/11/2017
CSL,29903,COAL,Stelco,11/11/2017
ALGOMA,29501,ORE,Arcelor Mittal (Dofasco),11/11/2017
LLT,18000,STONE,CRH,11/11/2017
CSL,41806,ILMENITE ORE,QIT,11/12/2017
CSL,24547,SALT,Windsor Salt,11/12/2017
LLT,26000,ORE,Algoma Steel,11/12/2017
LLT,22000,GRAIN,Richardson,11/12/2017
ALGOMA,29704,ORE,Arcelor Mittal (Dofasco),11/13/2017
ALGOMA,27900,STONE,LafargeHolcim,11/13/2017
LLT,18000,STONE,CRH,11/13/2017
CSL,20029,GRAIN,ADM Milling,11/13/2017
ALGOMA,27000,COAL,Teck,11/13/2017
CSL,25555,GRAIN,G3,11/13/2017
CSL,26936,GRAIN,Viterra,11/13/2017
LLT,26000,ORE,Algoma Steel,11/13/2017
CSL,26727,COAL,Stelco,11/14/2017
ALGOMA,27200,Clinker,St Mary's Cement,11/14/2017
LLT,18000,SALT,Sifto,11/14/2017
CSL,29015,SALT,Windsor Salt,11/14/2017
CSL,32786,ORE,Stelco,11/14/2017
ALGOMA,29500,ORE,USS,11/14/2017
CSL,29007,ORE,USS,11/15/2017
CSL,30503,COAL,Stelco,11/15/2017
LLT,26000,STONE,Ontario Trap Rock,11/15/2017
CSL,24621,SALT,Windsor Salt,11/15/2017
ALGOMA,27500,ORE,Arcelor Mittal (USA),11/15/2017
CSL,34607,STONE,Great Eastern,11/15/2017
LLT,22000,GRAIN,Hansen Mueller,11/15/2017
ALGOMA,28500,GYPSUM,CRH,11/15/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),11/15/2017
ALGOMA,27900,ORE,USS,11/15/2017
ALGOMA,27500,GRAIN,Viterra,11/15/2017
ALGOMA,28301,GRAIN,G3,11/15/2017
ALGOMA,27900,SLAG,CRH,11/15/2017
CSL,30681,GRAIN,Viterra,11/16/2017
CSL,19727,SLAG,CRISTAL,11/16/2017
LLT,22000,COAL,Essar,11/16/2017
ALGOMA,28800,SLAG,CRH,11/16/2017
ALGOMA,28500,GRAIN,Cargill,11/16/2017
ALGOMA,18000,SALT,Sifto,11/16/2017
ALGOMA,29500,GRAIN,Richardson,11/16/2017
LLT,24000,GRAIN,Hansen Mueller,11/17/2017
CSL,32289,ORE,Stelco,11/17/2017
LLT,25200,GRAIN,Richardson,11/17/2017
LLT,26000,STONE,Ontario Trap Rock,11/17/2017
ALGOMA,28000,SALT,Sifto,11/17/2017
CSL,41833,ILMENITE ORE,QIT,11/17/2017
CSL,33207,ORE,Stelco,11/18/2017
LLT,22000,STONE,Ontario Trap Rock,11/18/2017
LLT,22000,STONE,South West Sales,11/18/2017
ALGOMA,27500,ORE,Arcelor Mittal (USA),11/18/2017
CSL,29279,GRAIN,ADM AGRI,11/19/2017
ALGOMA,27000,SALT,Sifto,11/19/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),11/19/2017
LLT,22000,COAL,Essar,11/19/2017
LLT,22000,STONE,South West Sales,11/19/2017
LLT,18000,SALT,Cargill,11/19/2017
ALGOMA,27900,SALT,Sifto,11/19/2017
ALGOMA,27200,SAND,Lakeshore Sand,11/19/2017
LLT,22000,STONE,LafargeHolcim,11/20/2017
LLT,22000,SALT,Windsor Salt,11/20/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),11/21/2017
ALGOMA,28100,ORE,Arcelor Mittal (Dofasco),11/21/2017
ALGOMA,28301,COAL,Transcor,11/21/2017
LLT,22000,STONE,LafargeHolcim,11/22/2017
LLT,22000,STONE,South West Sales,11/22/2017
CSL,24732,SALT,Windsor Salt,11/22/2017
CSL,26649,COKE,Koch Carbon,11/22/2017
ALGOMA,29704,GRAIN,Richardson,11/22/2017
LLT,18000,GRAIN,Richardson,11/22/2017
CSL,28226,COAL,Stelco,11/22/2017
CSL,21296,SALT,Windsor Salt,11/23/2017
ALGOMA,29501,GRAIN,Richardson,11/23/2017
LLT,22000,SALT,Sifto,11/23/2017
LLT,24000,STONE,LafargeHolcim,11/23/2017
CSL,34040,SALT,Windsor Salt,11/23/2017
CSL,30978,SALT,Windsor Salt,11/23/2017
CSL,22719,GRAIN,Viterra,11/23/2017
CSL,33375,ORE,Stelco,11/23/2017
ALGOMA,18000,SALT,Sifto,11/23/2017
ALGOMA,28800,SLAG,LafargeHolcim,11/24/2017
LLT,22000,STONE,South West Sales,11/24/2017
LLT,22000,STONE,SWS,11/24/2017
CSL,41010,ILMENITE ORE,QIT,11/24/2017
LLT,26000,ORE,Algoma Steel,11/24/2017
ALGOMA,29650,ORE,Arcelor Mittal (Dofasco),11/24/2017
CSL,31989,ORE,Stelco,11/24/2017
LLT,22000,GRAIN,Hansen Mueller,11/24/2017
LLT,18000,STONE,CRH,11/25/2017
ALGOMA,29500,COAL,CRH,11/25/2017
ALGOMA,28500,SLAG,LafargeHolcim,11/25/2017
LLT,22000,SALT,Cargill,11/25/2017
LLT,22000,COAL,Essar,11/25/2017
LLT,24000,STONE,Ontario Trap Rock,11/26/2017
CSL,20982,GRAIN,ADM Milling,11/26/2017
CSL,27241,COAL,Stelco,11/26/2017
ALGOMA,27500,SLAG,Arcelor Mittal (QCM),11/26/2017
ALGOMA,27900,SALT,Sifto,11/26/2017
CSL,29096,ORE,USS,11/26/2017
ALGOMA,27500,ORE,USS,11/26/2017
ALGOMA,27000,ORE,USS,11/26/2017
LLT,25200,SALT,Windsor Salt,11/26/2017
ALGOMA,27200,Clinker,St Mary's Cement,11/26/2017
ALGOMA,18000,SALT,Sifto,11/27/2017
ALGOMA,27900,ORE,Other,11/27/2017
ALGOMA,29500,COAL,Arcelor Mittal (Dofasco),11/27/2017
LLT,26000,ORE,Algoma Steel,11/27/2017
CSL,30303,GRAIN,Cargill,11/27/2017
CSL,25718,GRAIN,Viterra,11/27/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),11/28/2017
LLT,22000,STONE,South West Sales,11/28/2017
ALGOMA,28500,GRAIN,Richardson,11/28/2017
CSL,29995,COKE,RTSA,11/28/2017
CSL,23455,SALT,Windsor Salt,11/28/2017
LLT,18000,GRAIN,Richardson,11/28/2017
LLT,18000,STONE,CRH,11/28/2017
CSL,24624,GRAIN,G3,11/28/2017
ALGOMA,18000,STONE,LafargeHolcim,11/29/2017
ALGOMA,28100,GRAIN,G3,11/29/2017
LLT,24000,COAL,Essar,11/29/2017
CSL,40716,ILMENITE ORE,QIT,11/29/2017
CSL,29045,ORE,USS,11/29/2017
CSL,33420,SALT,Windsor Salt,11/29/2017
CSL,30546,GRAIN,Viterra,11/30/2017
LLT,18000,STONE,CRH,11/30/2017
ALGOMA,28800,SLAG,LafargeHolcim,11/30/2017
ALGOMA,28500,GRAIN,P & H,11/30/2017
LLT,22000,STONE,SWS,11/30/2017
LLT,26000,COAL,Essar,11/30/2017
LLT,22000,STONE,LafargeHolcim,11/30/2017
LLT,22000,STONE,South West Sales,11/30/2017
CSL,27175,COAL,Stelco,12/1/2017
ALGOMA,29650,GRAIN,Richardson,12/1/2017
ALGOMA,28301,GRAIN,Cargill,12/1/2017
LLT,25200,GRAIN,Richardson,12/1/2017
ALGOMA,28000,COAL,Arcelor Mittal (Dofasco),12/1/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),12/1/2017
ALGOMA,29500,GRAIN,Richardson,12/1/2017
CSL,29064,SALT,Windsor Salt,12/2/2017
ALGOMA,27500,GRAIN,Richardson,12/2/2017
CSL,27613,SALT,Windsor Salt,12/2/2017
LLT,22000,COAL,Arcelor Mittal (Dofasco),12/2/2017
LLT,18000,STONE,CRH,12/2/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),12/2/2017
ALGOMA,29500,ORE,USS,12/2/2017
ALGOMA,18000,SALT,Sifto,12/3/2017
ALGOMA,27900,SALT,Sifto,12/3/2017
ALGOMA,27200,STONE,LafargeHolcim,12/3/2017
LLT,22000,SALT,Sifto,12/3/2017
LLT,18000,STONE,CRH,12/3/2017
LLT,18000,GRAIN,Richardson,12/3/2017
CSL,28628,COAL,Stelco,12/4/2017
ALGOMA,29704,ORE,Arcelor Mittal (Dofasco),12/4/2017
CSL,24439,SALT,Windsor Salt,12/4/2017
LLT,18000,STONE,CRH,12/4/2017
CSL,33439,ORE,Stelco,12/4/2017
CSL,28551,GRAIN,Cargill,12/4/2017
LLT,22000,COKE,Essar,12/5/2017
ALGOMA,27000,SLAG,St Mary's Cement,12/5/2017
CSL,23605,ORE,Stelco,12/5/2017
CSL,25130,GRAIN,Cargill,12/5/2017
LLT,22000,STONE,South West Sales,12/5/2017
CSL,30518,GRAIN,Viterra,12/5/2017
LLT,24000,GRAIN,Unknown customer,12/5/2017
CSL,29142,SALT,Windsor Salt,12/6/2017
ALGOMA,27500,SALT,Sifto,12/7/2017
LLT,22000,SALT,Sifto,12/7/2017
ALGOMA,37250,ORE,Arcelor Mittal (Sidbec),12/7/2017
ALGOMA,29501,GRAIN,Richardson,12/7/2017
CSL,26844,GYPSUM,CertainTeed,12/7/2017
CSL,26291,GRAIN,Richardson,12/8/2017
CSL,28190,GRAIN,Viterra,12/8/2017
ALGOMA,18000,POTASH,Potash Corp,12/8/2017
ALGOMA,28000,SALT,Sifto,12/8/2017
ALGOMA,27500,ORE,Arcelor Mittal (Dofasco),12/8/2017
ALGOMA,29704,GRAIN,Richardson,12/8/2017
ALGOMA,28500,GRAIN,Richardson,12/8/2017
ALGOMA,27200,SALT,Sifto,12/8/2017
CSL,32678,ORE,Stelco,12/8/2017
CSL,25757,SUGAR,REDPATH SUGAR,12/9/2017
LLT,26000,ORE,Algoma Steel,12/9/2017
LLT,22000,STONE,LafargeHolcim,12/9/2017
CSL,30450,COAL,Stelco,12/9/2017
LLT,18000,STONE,CRH,12/10/2017
ALGOMA,28800,GRAIN,Hansen Mueller,12/10/2017
LLT,22000,Unkown,Unknown,12/10/2017
CSL,29116,SALT,Windsor Salt,12/10/2017
LLT,22000,STONE,South West Sales,12/10/2017
