Date,Tons
5/17/2017,27500
5/17/2017,22000
5/17/2017,32563
5/17/2017,24000
5/17/2017,28500
5/17/2017,26000
5/17/2017,25200
5/18/2017,31012
5/18/2017,22000
5/18/2017,29450
5/18/2017,27200
5/18/2017,28300
5/18/2017,18000
5/18/2017,29704
5/18/2017,30887
5/19/2017,29500
5/19/2017,29650
5/19/2017,27500
5/19/2017,27500
5/19/2017,22000
5/19/2017,28800
5/19/2017,26000
5/19/2017,18000
5/19/2017,27500
5/20/2017,24088
5/20/2017,28000
5/20/2017,22000
5/20/2017,26966
5/20/2017,30449
5/21/2017,27000
5/21/2017,26000
5/21/2017,28500
5/21/2017,27900
5/21/2017,18000
5/21/2017,25630
5/22/2017,18000
5/22/2017,36160
5/22/2017,27200
5/22/2017,29024
5/22/2017,22000
5/22/2017,27500
5/22/2017,22000
5/23/2017,27900
5/23/2017,22000
5/23/2017,18000
5/23/2017,21717
5/23/2017,28423
5/24/2017,26000
5/24/2017,29704
5/24/2017,27900
5/24/2017,28000
5/24/2017,30488
5/25/2017,29452
5/25/2017,27500
5/25/2017,28500
5/25/2017,18000
5/25/2017,27472
5/25/2017,37030
5/25/2017,28562
5/25/2017,26266
5/25/2017,30485
5/25/2017,35547
5/25/2017,28500
5/26/2017,27500
5/26/2017,29500
5/26/2017,33781
5/26/2017,27200
5/26/2017,27500
5/26/2017,18000
5/26/2017,24000
5/26/2017,22000
5/27/2017,28800
5/27/2017,38603
5/27/2017,28000
5/27/2017,25142
5/27/2017,18826
5/27/2017,26531
5/28/2017,27500
5/28/2017,18000
5/28/2017,27000
5/28/2017,28100
5/28/2017,30589
5/28/2017,26000
5/29/2017,30705
5/29/2017,27500
5/29/2017,18000
5/29/2017,22000
5/29/2017,35462
5/29/2017,18000
5/29/2017,27900
5/30/2017,22000
5/30/2017,28300
5/30/2017,29650
5/30/2017,28000
5/30/2017,27200
5/30/2017,28500
5/30/2017,26948
5/31/2017,28800
5/31/2017,28500
5/31/2017,37419
5/31/2017,31373
5/31/2017,27900
5/31/2017,26000
5/31/2017,18000
5/31/2017,27500
5/31/2017,32772
5/31/2017,22000
6/1/2017,18000
6/1/2017,26438
6/1/2017,31001
6/1/2017,29704
6/1/2017,25717
6/1/2017,24000
6/2/2017,33355
6/2/2017,18000
6/2/2017,28100
6/2/2017,26167
6/2/2017,27500
6/2/2017,24714
6/2/2017,27000
6/2/2017,25200
6/3/2017,28252
6/3/2017,28800
6/3/2017,27900
6/3/2017,27900
6/3/2017,28000
6/3/2017,18000
6/3/2017,27200
6/3/2017,27500
6/4/2017,22000
6/4/2017,22000
6/4/2017,25978
6/4/2017,18000
6/4/2017,28500
6/4/2017,29251
6/5/2017,28300
6/5/2017,18000
6/6/2017,37703
6/6/2017,29650
6/6/2017,23165
6/6/2017,27500
6/6/2017,27500
6/6/2017,26000
6/6/2017,22000
6/6/2017,24000
6/7/2017,32012
6/7/2017,22000
6/7/2017,27200
6/7/2017,27500
6/7/2017,27900
6/7/2017,27900
6/7/2017,22000
6/7/2017,18000
6/7/2017,32193
6/7/2017,29010
6/7/2017,26105
6/8/2017,26000
6/8/2017,28500
6/8/2017,29500
6/8/2017,18000
6/8/2017,27000
6/8/2017,24384
6/8/2017,30679
6/9/2017,27500
6/9/2017,26000
6/9/2017,28800
6/9/2017,25338
6/9/2017,28500
6/10/2017,22000
6/10/2017,18000
6/10/2017,18000
6/10/2017,27500
6/10/2017,30937
6/10/2017,30486
6/10/2017,27500
6/10/2017,26000
6/10/2017,28100
6/11/2017,27200
6/11/2017,24000
6/11/2017,29500
6/11/2017,18000
6/11/2017,29574
6/12/2017,27500
6/12/2017,38541
6/12/2017,27900
6/12/2017,26000
6/12/2017,22000
6/12/2017,29704
6/12/2017,18000
6/12/2017,29185
6/12/2017,22000
6/13/2017,18000
6/13/2017,28500
6/13/2017,28000
6/13/2017,27500
6/13/2017,26000
6/14/2017,37684
6/14/2017,24857
6/14/2017,27900
6/14/2017,29500
6/14/2017,18000
6/14/2017,27440
6/15/2017,29478
6/15/2017,29500
6/15/2017,27500
6/15/2017,18000
6/15/2017,27000
6/15/2017,22000
6/15/2017,30479
6/15/2017,30571
6/15/2017,28000
6/15/2017,28926
6/16/2017,22000
6/16/2017,20362
6/16/2017,24000
6/16/2017,18000
6/16/2017,27500
6/16/2017,28500
6/17/2017,28500
6/17/2017,22000
6/17/2017,29650
6/17/2017,26000
6/17/2017,25200
6/18/2017,18000
6/18/2017,27952
6/18/2017,28300
6/18/2017,38800
6/18/2017,27900
6/18/2017,22000
6/18/2017,33089
6/18/2017,24845
6/19/2017,29500
6/19/2017,29704
6/19/2017,26000
6/19/2017,29245
6/19/2017,18000
6/19/2017,18000
6/19/2017,30314
6/19/2017,28800
6/19/2017,27313
6/20/2017,20013
6/20/2017,28100
6/20/2017,24000
6/20/2017,29328
6/20/2017,27200
6/20/2017,18000
6/21/2017,28396
6/21/2017,28500
6/21/2017,28000
6/21/2017,27900
6/21/2017,29650
6/22/2017,22000
6/22/2017,18000
6/22/2017,25097
6/22/2017,18409
6/22/2017,28652
6/22/2017,25333
6/23/2017,27500
6/23/2017,28300
6/23/2017,26000
6/23/2017,27900
6/23/2017,38355
6/23/2017,27500
6/23/2017,26497
6/24/2017,18000
6/24/2017,30281
6/24/2017,22000
6/24/2017,27500
6/24/2017,29500
6/24/2017,30228
6/24/2017,26447
6/24/2017,27500
6/25/2017,29221
6/25/2017,28800
6/25/2017,28500
6/25/2017,27500
6/25/2017,38678
6/25/2017,18000
6/25/2017,28993
6/26/2017,27000
6/26/2017,29500
6/26/2017,26000
6/26/2017,22000
6/27/2017,22000
6/27/2017,22000
6/28/2017,28000
6/28/2017,28500
6/28/2017,24962
6/28/2017,32909
6/28/2017,28096
6/28/2017,27500
6/28/2017,27900
6/28/2017,18000
6/28/2017,27900
6/28/2017,24000
6/29/2017,26000
6/29/2017,24914
6/29/2017,27200
6/29/2017,6505
6/29/2017,33938
6/29/2017,27500
6/29/2017,29704
6/29/2017,30943
6/30/2017,18000
6/30/2017,28500
6/30/2017,29253
7/1/2017,28000
7/1/2017,30721
7/1/2017,18000
7/1/2017,29650
7/1/2017,26000
7/2/2017,27500
7/2/2017,29500
7/2/2017,28100
7/2/2017,34161
7/2/2017,18000
7/2/2017,27500
7/2/2017,27900
7/2/2017,29093
7/2/2017,26816
7/2/2017,28000
7/3/2017,22000
7/3/2017,26000
7/3/2017,25200
7/3/2017,25966
7/3/2017,22000
7/3/2017,22000
7/3/2017,24517
7/4/2017,27000
7/4/2017,18000
7/4/2017,28800
7/4/2017,24000
7/4/2017,27200
7/4/2017,26000
7/4/2017,28300
7/5/2017,29500
7/5/2017,22000
7/5/2017,18000
7/5/2017,27900
7/5/2017,30889
7/6/2017,29704
7/6/2017,22000
7/6/2017,27500
7/6/2017,35881
7/6/2017,29340
7/6/2017,29135
7/6/2017,22000
7/6/2017,25098
7/6/2017,18000
7/6/2017,27500
7/7/2017,33274
7/7/2017,28500
7/7/2017,33945
7/7/2017,27000
7/8/2017,18000
7/8/2017,18000
7/8/2017,24747
7/8/2017,26000
7/8/2017,24000
7/8/2017,22000
7/8/2017,28100
7/8/2017,29500
7/8/2017,22000
7/9/2017,27200
7/9/2017,26068
7/9/2017,28800
7/9/2017,27500
7/9/2017,22000
7/9/2017,28000
7/9/2017,18000
7/9/2017,26442
7/9/2017,27900
7/10/2017,29423
7/10/2017,27500
7/10/2017,34103
7/10/2017,20690
7/10/2017,27500
7/11/2017,29162
7/11/2017,24000
7/11/2017,18000
7/11/2017,26000
7/11/2017,29704
7/11/2017,28500
7/11/2017,28500
7/11/2017,22000
7/12/2017,27200
7/12/2017,27900
7/12/2017,18000
7/13/2017,30867
7/13/2017,24422
7/13/2017,27500
7/13/2017,18000
7/13/2017,22584
7/14/2017,26000
7/14/2017,22000
7/14/2017,29650
7/14/2017,30575
7/14/2017,31719
7/14/2017,29225
7/14/2017,28000
7/14/2017,29155
7/14/2017,33975
7/15/2017,18000
7/15/2017,28500
7/15/2017,28300
7/15/2017,18000
7/15/2017,29500
7/15/2017,27900
7/16/2017,22000
7/16/2017,24000
7/16/2017,18000
7/16/2017,30973
7/17/2017,22000
7/17/2017,26000
7/17/2017,27500
7/17/2017,27900
7/17/2017,28100
7/17/2017,24622
7/17/2017,31088
7/17/2017,25200
7/17/2017,27000
7/17/2017,22000
7/18/2017,30923
7/18/2017,18000
7/18/2017,29500
7/18/2017,26022
7/18/2017,28616
7/18/2017,29323
7/18/2017,27200
7/18/2017,26000
7/18/2017,29650
7/19/2017,28500
7/19/2017,18000
7/19/2017,28800
7/19/2017,27900
7/19/2017,30580
7/20/2017,26000
7/20/2017,22000
7/20/2017,24000
7/21/2017,31384
7/21/2017,29500
7/21/2017,31925
7/21/2017,22000
7/21/2017,30304
7/21/2017,26000
7/21/2017,25041
7/21/2017,27500
7/21/2017,18000
7/21/2017,18000
7/22/2017,30310
7/22/2017,28500
7/22/2017,27900
7/23/2017,24674
7/23/2017,29704
7/23/2017,27200
7/24/2017,27900
7/24/2017,28000
7/24/2017,18000
7/24/2017,29500
7/24/2017,26136
7/24/2017,27037
7/24/2017,22000
7/24/2017,26403
7/25/2017,26000
7/25/2017,29357
7/25/2017,28500
7/25/2017,24000
7/25/2017,22000
7/25/2017,30504
7/25/2017,25200
7/26/2017,18000
7/26/2017,28100
7/26/2017,26449
7/26/2017,29283
7/26/2017,27000
7/27/2017,27500
7/27/2017,18000
7/27/2017,29500
7/27/2017,27500
7/27/2017,28300
7/27/2017,27900
7/27/2017,26000
7/28/2017,24348
7/28/2017,22000
7/28/2017,24000
7/28/2017,28500
7/28/2017,27000
7/28/2017,30333
7/28/2017,37250
7/29/2017,30631
7/29/2017,27200
7/29/2017,27910
7/29/2017,28969
7/29/2017,29500
7/29/2017,28000
7/29/2017,28500
7/30/2017,30939
7/30/2017,18000
7/30/2017,26000
7/30/2017,29650
7/30/2017,22000
7/30/2017,24897
7/30/2017,29964
7/31/2017,32138
7/31/2017,27900
7/31/2017,18000
7/31/2017,18000
7/31/2017,28800
8/1/2017,30432
8/1/2017,24000
8/1/2017,27500
8/1/2017,26422
8/1/2017,27500
8/1/2017,27000
8/2/2017,22000
8/2/2017,31250
8/2/2017,28300
8/2/2017,27200
8/2/2017,37250
8/2/2017,27900
8/2/2017,26000
8/2/2017,27500
8/2/2017,22000
8/2/2017,18000
8/3/2017,26777
8/3/2017,29704
8/3/2017,18000
8/3/2017,25412
8/3/2017,29500
8/3/2017,29165
8/3/2017,28000
8/4/2017,26000
8/4/2017,27900
8/4/2017,22000
8/4/2017,22000
8/4/2017,27000
8/4/2017,28100
8/4/2017,18007
8/4/2017,28500
8/5/2017,29650
8/5/2017,27500
8/5/2017,18000
8/6/2017,26000
8/6/2017,27900
8/6/2017,32013
8/7/2017,18000
8/7/2017,32268
8/7/2017,35327
8/7/2017,37250
8/7/2017,26585
8/7/2017,33976
8/7/2017,30668
8/8/2017,27000
8/8/2017,29704
8/8/2017,29500
8/8/2017,24000
8/8/2017,22000
8/9/2017,26000
8/9/2017,28100
8/9/2017,18000
8/9/2017,28000
8/9/2017,28800
8/10/2017,29176
8/10/2017,26000
8/10/2017,26000
8/10/2017,27900
8/10/2017,26114
8/10/2017,18000
8/10/2017,28500
8/11/2017,22000
8/11/2017,25200
8/11/2017,22000
8/11/2017,22000
8/11/2017,31016
8/12/2017,35546
8/12/2017,18000
